slug,date,title,categories,images
bu-kadar-diyet-arasindan-hangisi-en-dogrusu-yasam-kocu-melis-zararsiz-cevap-veriyor-hicbiri,2017-12-13,Bu Kadar Diyet Arasından Hangisi “En Doğrusu”? Yaşam Koçu Melis Zararsız Cevap Veriyor: Hiçbiri!,Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili,1
simdi-ekmek-yiyor-muyuz-yoksa-yemiyor-muyuz-eksi-mayali-ekmek-ne-demek,2017-12-15,Şimdi Ekmek Yiyor muyuz Yoksa Yemiyor muyuz? Ekşi Mayalı Ekmek Ne Demek?,Sağlıklı Yaşam,3
bu-yasadigim-tukenmislik-sendromu-mu,2017-12-23,Bu Yaşadığım Tükenmişlik Sendromu mu?,Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili,2
yeni-yilda-saglikli-ve-mutlu-olmak-icin-onerilerim,2017-12-28,Yeni Yılda Sağlıklı ve Mutlu Olmak İçin Önerilerim,Kişisel Gelişim|Yaşam Stili,4
sinema-yazari-bir-saglikli-yasam-kocundan-ilk-oneri-food-inc-gida-a-s,2018-01-03,Sinema Yazarı Bir Sağlıklı Yaşam Koçu'ndan İlk Öneri: FOOD INC./GIDA A.Ş !,Film Önerisi|Sağlıklı Yaşam|Yaşam Stili,1
saglikli-yasam-ve-bilincli-beslenme-seminerinden-notlar,2018-01-15,Sağlıklı Yaşam ve Bilinçli Beslenme Seminerinden Notlar,Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili|Yemek Tarifi,4
dunya-sana-hediye-sunmaz-inan-bana-bir-yasam-istiyorsan-cal-onu,2018-02-05,"Dünya Sana Hediye Sunmaz, İnan Bana. Bir Yaşam İstiyorsan, Çal Onu!",Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili,3
saglikli-yasam-ve-beslenmede-probiyotiklerin-onemi-semineri,2018-02-05,Sağlıklı Yaşam ve Beslenmede Probiyotiklerin Önemi Semineri,Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili|Yemek Tarifi,1
bilincli-beslenme-beyin-bagirsak-iliskisi-ve-probiyotikler,2018-02-11,"Bilinçli Beslenme, Beyin-Bağırsak İlişkisi ve Probiyotikler",Kişisel Gelişim|Kitap Önerisi|Sağlıklı Yaşam|Yaşam Stili|Yemek Tarifi,1
evde-kendi-badem-sutunu-hazirla,2018-03-17,Evde Kendi Badem Sütünü Hazırla!,Sağlıklı Yaşam|Yemek Tarifi,1
izmirde-mutlu-kadinlar-atolyesinde-idik,2018-04-29,"İzmir'de, Mutlu Kadınlar Atölyesinde İdik",Sağlıklı Yaşam,3
saglikli-kahvalti-saglikli-yasam-sohbetleri-ve-belgrad-yuruyusu,2018-04-29,"Sağlıklı Kahvaltı, Sağlıklı Yaşam Sohbetleri ve Belgrad Yürüyüşü",,3
sevme-sanati-erich-fromm,2018-08-01,Sevme Sanatı - Erich Fromm,Kişisel Gelişim|Kitap Önerisi|Sağlıklı Yaşam,3
21-gun-detoks-vegan-challenge,2018-08-10,21 Gün Detoks: Vegan Challenge,Sağlıklı Yaşam|Yaşam Stili|Yemek Tarifi,1
bisiklete-binmeyi-ogreniyorum,2018-08-25,Bisiklete Binmeyi Öğreniyorum,Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili,4
21-gun-vegan-beslenme-ile-detoks-surecim-sona-erdi,2018-08-26,21 Gün Vegan Beslenme İle Detoks Sürecim Sona Erdi,,1
21-gun-unsuz-yasam,2018-10-19,21 Gün Unsuz Yaşam,Sağlıklı Yaşam|Yaşam Stili,1
meditasyon-uygulayiciligi-ve-nefes-koclugu,2018-10-19,Meditasyon Uygulayıcılığı ve Nefes Koçluğu,Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili,3
2019-hos-gelsin,2018-12-27,2019 Hoş Gelsin!,Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili,1
vegan-beslenme-cok-revacta-peki-nasil-beslenmeliyiz,2019-03-08,"Vegan Beslenme Çok Revaçta, Peki Nasıl Beslenmeliyiz?",Sağlıklı Yaşam|Yaşam Stili,3
meditasyon-ve-iyi-bir-insan-olmak,2019-03-09,Meditasyon ve İyi Bir İnsan Olmak,Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili,2
biraz-da-gulelim,2019-03-13,Biraz da Gülelim,Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili,0
zararsiz-yasam-youtubeda,2019-04-13,Zararsız Yaşam Youtube'da,,0
zararsiz-yasam-ismi-nasil-dogdu,2019-04-24,"""Zararsız Yaşam"" İsmi Nasıl Doğdu?",Kişisel Gelişim|Kitap Önerisi|Sağlıklı Yaşam|Yaşam Stili,1
birlikte-meditasyon-yapalim-mi,2019-05-01,Birlikte Meditasyon Yapalım mı?,Kişisel Gelişim|Yaşam Stili|Sağlıklı Yaşam|Kitap Önerisi,2
irade-nedir-sen-iradeli-biri-misin,2019-05-16,İrade Nedir? Sen İradeli Biri misin?,Kişisel Gelişim|Kitap Önerisi|Sağlıklı Yaşam|Yaşam Stili,1
tanrilar-okulu-kitabi-neyi-anlatiyor-bir-de-video-ile-anlatayim-dedim,2019-06-12,"Tanrılar Okulu Kitabı Neyi Anlatıyor, Bir de Video İle Anlatayım Dedim",Kişisel Gelişim|Kitap Önerisi|Sağlıklı Yaşam|Yaşam Stili,1
21-haziran-uluslararasi-yoga-gunu-video,2019-06-20,21 Haziran Uluslararası Yoga Günü (video),Kişisel Gelişim|Kitap Önerisi|Sağlıklı Yaşam|Yaşam Stili,1
21-gunde-belinizi-nasil-inceltirsiniz,2019-07-03,21 Günde Belinizi Nasıl İnceltirsiniz?,Kişisel Gelişim|Kitap Önerisi|Sağlıklı Yaşam|Yaşam Stili|Yemek Tarifi,0
eylulde-buyukada-adalar-kultur-derneginde-saglikli-beslenmeyi-konusacagiz,2019-07-08,Eylül'de Büyükada Adalar Kültür Derneği'nde Sağlıklı Beslenmeyi Konuşacağız,Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili|Etkinlik,2
surdurulebilir-yasam-ne-demek-gelin-filmler-yoluyla-biraz-daha-yakindan-bakalim,2019-07-19,Sürdürülebilir Yaşam Ne Demek? Gelin Filmler Yoluyla Biraz Daha Yakından Bakalım!,,1
brene-brown-kirilganligin-gucunu-ve-cesaretle-olan-bagini-anlatiyor,2019-09-06,Brené Brown Kırılganlığın Gücü'nü ve Cesaretle Olan Bağını Anlatıyor,,2
bilincli-ve-butuncul-beslenme-soylesisi,2019-09-08,Bilinçli ve Bütüncül Beslenme Söyleşisi,,1
susamamla-ilgili-susamadim,2019-09-09,SUSAMAM’LA İLGİLİ SUSAMADIM,,1
buyukadada-bilincli-beslenmeyi-konustuk,2019-09-12,Büyükada'da Bilinçli Beslenme'yi Konuştuk,,0
dunya-vegan-gununde-vegan-dernegi-etkinligindeydik,2019-11-09,Dünya Vegan Günü'nde Vegan Derneği Etkinliği'ndeydik,Etkinlik|Film Önerisi|Sağlıklı Yaşam|Yaşam Stili,12
nazik-bir-dikkat-mindfulness,2019-12-18,Nazik Bir Dikkat: Mindfulness!,,1
diyet-rejim-demeden-kisa-yoldan-nasil-saglikli-besleniriz-peki-ya-hayvansal-gidalarin-tuketimi,2019-12-28,"Diyet, Rejim Demeden, Kısa Yoldan Nasıl Sağlıklı Besleniriz? Peki Ya Hayvansal Gıdaların Tüketimi?",Sağlıklı Yaşam|Yaşam Stili|Yemek Tarifi,1
yeni-yil-yeni-sen,2019-12-28,"Yeni Yıl, Yeni Sen!",Etkinlik|Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili,3
buyukadada-meditasyon-dersleri-basliyor,2020-01-04,Büyükada'da Meditasyon Dersleri Başlıyor,Etkinlik|Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili,2
farkindalik-ve-meditasyon-ilk-ders-saglikli-yasam-ve-meditasyon-iliskisi,2020-01-19,Farkındalık ve Meditasyon. İlk Ders: Sağlıklı Yaşam ve Meditasyon İlişkisi,Etkinlik|Kişisel Gelişim|Kitap Önerisi|Sağlıklı Yaşam|Yaşam Stili|meditasyon,2
farkindalik-ve-meditasyon-ikinci-ders-oz-sevgi-ve-meditasyon-iliskisi,2020-01-26,Farkındalık ve Meditasyon İkinci Ders: Öz Sevgi ve Meditasyon İlişkisi,Etkinlik|meditasyon|Sağlıklı Yaşam|Yaşam Stili,2
strese-karsi-neden-ve-nasil-meditasyon,2020-02-02,Strese Karşı Neden ve Nasıl Meditasyon,Kişisel Gelişim|Kitap Önerisi|meditasyon|Sağlıklı Yaşam|Yaşam Stili,2
buyukadada-meditasyon-dersleri-tum-hiziyla-suruyor,2020-02-09,Büyükada'da Meditasyon Dersleri Tüm Hızıyla Sürüyor,Etkinlik|Kişisel Gelişim|Kitap Önerisi|meditasyon|Sağlıklı Yaşam|Yaşam Stili,0
duygular-mantralar-ve-meditasyon,2020-02-09,"Duygular, Mantralar ve Meditasyon",Etkinlik|Kişisel Gelişim|Kitap Önerisi|meditasyon|Sağlıklı Yaşam|Yaşam Stili,2
saglikli-kurabiye-tarifi,2020-03-07,Sağlıklı Kurabiye Tarifi,Sağlıklı Yaşam|Yaşam Stili|Yemek Tarifi,1
beden-farkindaligi,2020-03-09,Beden Farkındalığı,Kişisel Gelişim|meditasyon|Sağlıklı Yaşam|Yaşam Stili,1
korona-virusu-hakkinda-ne-dusunmeli-nasil-davranmaliyiz,2020-03-13,"Korona Virüsü Hakkında Ne Düşünmeli, Nasıl Davranmalıyız?",Sağlıklı Yaşam|Yaşam Stili,2
coronanin-yin-yang-hali,2020-03-15,Corona'nın Yin Yang Hali,Kişisel Gelişim|Sağlıklı Yaşam|Yaşam Stili,1
korona-gunlerinde-internet,2020-03-30,Korona Günlerinde İnternet,Etkinlik|Kişisel Gelişim|meditasyon|Sağlıklı Yaşam|Yaşam Stili,4
instagram-canli-yayindayiz,2020-04-10,Instagram Canlı Yayındayız!,,1
belirsizlik-gunlerinde-meditasyon,2020-04-20,Belirsizlik Günlerinde Meditasyon,,1
iyi-haberlerim-var,2020-05-07,İyi Haberlerim Var,,1
olumlama-meditasyonu,2020-05-11,Olumlama Meditasyonu,,1
sevgi-ve-sefkat-meditasyonu-mettabhavana,2020-05-18,Sevgi ve Şefkat Meditasyonu - Mettabhavana,,2
instagram-canli-yayina-bekleriz,2020-06-12,Instagram Canlı Yayına Bekleriz,,1
adalar-yoga-insta-canli-yayin,2020-07-25,Adalar Yoga Insta Canlı Yayın,,0
nefret-ediyorum,2020-08-03,Nefret Ediyorum!,Kişisel Gelişim|meditasyon|Sağlıklı Yaşam,1
yedi-gun-inzivadaydim-inziva-nedir-vipassana-nedir,2020-10-03,Yedi Gün İnzivadaydım! İnziva Nedir? Vipassana Nedir?,,9
2020yi-ugurlarken,2020-12-30,2020'yi Uğurlarken...,,2
bugday-bezen-ve-melis-gururla-sunar-atolye-mudita,2021-04-21,Buğday Bezen ve Melis Gururla Sunar: Atölye Mudita!,Kişisel Gelişim|meditasyon|Sağlıklı Yaşam|Yaşam Stili,2
pandemi-surecini-nasil-atlatiyorsun,2021-05-01,Pandemi Sürecini Nasıl Atlatıyorsun?,Kişisel Gelişim|meditasyon|Sağlıklı Yaşam|Yaşam Stili,2
dunya-yoga-gunu-2021,2021-06-20,Dünya Yoga Günü 2021,Kişisel Gelişim|Kitap Önerisi|meditasyon|Sağlıklı Yaşam|Yaşam Stili|yoga,1
tolerans-pencerende-misin,2021-06-20,Tolerans Pencerende misin?,Kişisel Gelişim|Kitap Önerisi|meditasyon|Sağlıklı Yaşam|Yaşam Stili,1
turkiye-kocluk-gununde-instagram-canli-yayindayim,2021-06-27,Türkiye Koçluk Günü'nde Instagram Canlı Yayın'dayım,Etkinlik|Kişisel Gelişim|Yaşam Stili,1
yin-yoga-nedir-videom-yayinda,2021-10-15,Yin Yoga Nedir Video'm Yayında!,Kişisel Gelişim|meditasyon|Sağlıklı Yaşam|yoga|Yaşam Stili,0
trt-radyo-1-gecenin-icinden-programina-konuk-oldum,2021-11-11,TRT Radyo 1 Gecenin İçinden Programına Konuk oldum,Sağlıklı Yaşam|Yaşam Stili|yoga|video,1
goztepe-yoga-sutrada-meditasyon-icin-bulusalim,2022-06-08,Göztepe Yoga Sutra'da Meditasyon İçin Buluşalım,,3
elcin-oflaz-ile-detoks-programinda-yin-yoga,2022-06-12,Elçin Oflaz ile Detoks Programında Yin Yoga,,1
yazmak-iyi-gelir,2022-09-23,Yazmak İyi Gelir,Kişisel Gelişim|Kitap Önerisi|Sağlıklı Yaşam|Yaşam Stili,1
bir-fotograf-bir-yazi,2022-09-23,"Bir fotoğraf, bir yazı",Kişisel Gelişim|Kitap Önerisi|Sağlıklı Yaşam|Yaşam Stili|öykü,1
esinti,2022-09-23,Esinti,Kişisel Gelişim|Kitap Önerisi|öykü|Sağlıklı Yaşam|Yaşam Stili,1
mindfulness-temelli-kocluk,2022-09-27,Mindfulness Temelli Koçluk,Kişisel Gelişim|meditasyon|Sağlıklı Yaşam|Yaşam Stili|yoga|koçluk,2
kabuk-the-book,2023-01-27,Kabuk - The Book,,1
cok-fazla-secenek-cagi,2023-02-05,Çok Fazla Seçenek Çağı,Kişisel Gelişim|koçluk|Sağlıklı Yaşam|Yaşam Stili,1
yoga-egitmeni-olmak,2024-02-03,Yoga Eğitmeni Olmak,,1
buyukadada-bir-gun-ice-donus-ve-bir-metnin-derinlikleri,2026-04-17,Büyükada’da Bir Gün: İçe Dönüş ve Bir Metnin Derinlikleri,,2
mindfulness-neydi-yeniden-hatirlayalim,2026-06-01,Mindfulness Neydi? Yeniden Hatırlayalım,,0
kabuk-yolda,2026-06-01,Kabuk Yolda!,,0
acidan-kacmak,2026-06-08,Acıdan Kaçmak,,1
